Datum;TN;TX;UX;UN
1-1-2010;-101;1;97;77
2-1-2010;-98;4;99;93
3-1-2010;-131;-33;99;94
4-1-2010;-68;-12;100;96
5-1-2010;-47;9;100;93
6-1-2010;-106;-9;100;83
7-1-2010;-143;-28;99;84
8-1-2010;-105;-28;98;87
9-1-2010;-61;-8;97;85
10-1-2010;-10;4;98;90
11-1-2010;-23;3;92;76
12-1-2010;-57;-9;95;76
13-1-2010;-59;-19;91;69
14-1-2010;-67;28;99;84
15-1-2010;-10;17;99;85
16-1-2010;0;19;98;79
17-1-2010;5;49;99;94
18-1-2010;8;43;100;96
19-1-2010;9;43;100;98
20-1-2010;3;36;100;93
21-1-2010;-2;23;94;89
22-1-2010;-6;30;93;83
23-1-2010;-11;11;96;87
24-1-2010;-20;-10;97;89
25-1-2010;-108;-20;89;82
26-1-2010;-129;-59;90;72
27-1-2010;-124;41;98;72
28-1-2010;7;42;92;79
29-1-2010;-9;42;97;83
30-1-2010;-38;10;98;78
31-1-2010;-16;29;96;74
1-2-2010;-46;21;97;82
2-2-2010;-11;49;98;90
3-2-2010;-13;52;95;77
4-2-2010;11;71;98;92
5-2-2010;15;59;99;90
6-2-2010;6;50;100;97
7-2-2010;-14;14;99;90
8-2-2010;-56;-14;93;79
9-2-2010;-57;-14;84;69
10-2-2010;-65;-11;91;79
11-2-2010;-74;-11;87;71
12-2-2010;-99;3;93;73
13-2-2010;-36;1;87;67
14-2-2010;-49;-11;92;75
15-2-2010;-76;-18;88;71
16-2-2010;-46;15;92;68
17-2-2010;-52;17;88;64
18-2-2010;-1;50;99;86
19-2-2010;5;47;94;83
20-2-2010;-26;42;98;77
21-2-2010;-40;32;99;90
22-2-2010;12;49;99;92
23-2-2010;-1;29;96;81
24-2-2010;2;101;99;84
25-2-2010;65;92;97;89
26-2-2010;49;102;95;68
27-2-2010;34;91;95;71
28-2-2010;30;100;97;77
1-3-2010;-5;74;96;70
2-3-2010;-25;68;98;64
3-3-2010;-38;65;99;68
4-3-2010;-42;56;99;53
5-3-2010;-50;56;94;58
6-3-2010;-32;30;82;63
7-3-2010;-62;34;83;40
8-3-2010;-33;52;98;68
9-3-2010;-55;48;96;58
10-3-2010;-40;31;94;78
11-3-2010;-8;52;94;77
12-3-2010;25;65;94;67
13-3-2010;21;71;96;80
14-3-2010;40;86;94;75
15-3-2010;36;91;97;82
16-3-2010;7;91;95;73
17-3-2010;15;136;94;54
18-3-2010;19;164;92;43
19-3-2010;99;134;99;56
20-3-2010;113;145;98;90
21-3-2010;19;120;97;63
22-3-2010;5;124;98;59
23-3-2010;30;132;98;49
24-3-2010;79;173;82;53
25-3-2010;97;194;86;50
26-3-2010;79;126;90;67
27-3-2010;68;127;93;64
28-3-2010;48;110;96;70
29-3-2010;68;129;97;64
30-3-2010;55;156;94;70
31-3-2010;40;110;92;55
1-4-2010;28;80;93;61
2-4-2010;24;131;91;39
3-4-2010;53;106;95;77
4-4-2010;57;109;95;76
5-4-2010;11;106;97;58
6-4-2010;47;162;84;43
7-4-2010;69;190;83;45
8-4-2010;35;118;95;52
9-4-2010;40;139;94;62
10-4-2010;13;107;98;62
11-4-2010;18;109;96;62
12-4-2010;36;151;93;49
13-4-2010;37;147;93;47
14-4-2010;38;154;93;38
15-4-2010;19;148;87;42
16-4-2010;19;115;89;58
17-4-2010;-7;135;99;49
18-4-2010;2;157;98;36
19-4-2010;51;127;86;51
20-4-2010;52;121;80;51
21-4-2010;53;93;80;50
22-4-2010;5;107;87;43
23-4-2010;-13;136;96;36
24-4-2010;19;178;83;33
25-4-2010;38;235;88;26
26-4-2010;77;177;96;62
27-4-2010;51;180;98;40
28-4-2010;56;222;94;39
29-4-2010;101;249;94;37
30-4-2010;77;142;97;63
1-5-2010;59;135;96;70
2-5-2010;52;96;97;84
3-5-2010;54;76;95;82
4-5-2010;39;109;88;60
5-5-2010;37;132;91;53
6-5-2010;34;141;95;56
7-5-2010;58;93;97;76
8-5-2010;70;112;99;73
9-5-2010;33;112;96;69
10-5-2010;26;108;95;54
11-5-2010;46;121;92;49
12-5-2010;49;78;95;82
13-5-2010;62;103;95;71
14-5-2010;39;126;98;40
15-5-2010;26;144;95;54
16-5-2010;77;152;90;50
17-5-2010;77;151;96;62
18-5-2010;70;141;94;50
19-5-2010;84;157;88;48
20-5-2010;60;201;89;43
21-5-2010;77;187;95;59
22-5-2010;77;171;98;74
23-5-2010;85;223;99;58
24-5-2010;111;216;90;59
25-5-2010;63;165;97;50
26-5-2010;47;146;90;47
27-5-2010;69;153;94;55
28-5-2010;47;167;99;51
29-5-2010;48;211;96;38
30-5-2010;97;150;98;71
31-5-2010;84;172;97;63
1-6-2010;54;192;99;66
2-6-2010;74;204;97;54
3-6-2010;76;209;91;50
4-6-2010;68;213;97;50
5-6-2010;73;253;97;41
6-6-2010;118;264;99;44
7-6-2010;104;170;99;75
8-6-2010;114;240;99;55
9-6-2010;144;195;99;86
10-6-2010;152;219;99;84
11-6-2010;98;208;99;82
12-6-2010;79;179;99;58
13-6-2010;80;181;91;53
14-6-2010;104;205;95;53
15-6-2010;68;171;91;54
16-6-2010;59;220;95;50
17-6-2010;92;228;96;43
18-6-2010;103;156;93;64
19-6-2010;94;144;92;66
20-6-2010;103;132;89;67
21-6-2010;66;164;93;60
22-6-2010;39;191;98;50
23-6-2010;74;253;99;45
24-6-2010;101;264;99;45
25-6-2010;125;234;94;49
26-6-2010;99;244;96;47
27-6-2010;105;275;93;36
28-6-2010;128;284;96;41
29-6-2010;125;269;100;39
30-6-2010;130;247;99;65
1-7-2010;138;277;100;52
2-7-2010;191;345;84;32
3-7-2010;172;265;95;63
4-7-2010;139;270;97;48
5-7-2010;125;233;90;51
6-7-2010;101;210;89;50
7-7-2010;91;267;88;31
8-7-2010;154;267;98;45
9-7-2010;150;347;99;26
10-7-2010;169;309;99;42
11-7-2010;184;303;99;57
12-7-2010;158;262;97;65
13-7-2010;142;264;97;53
14-7-2010;175;295;98;42
15-7-2010;163;229;92;53
16-7-2010;152;247;97;51
17-7-2010;118;207;97;58
18-7-2010;104;238;99;43
19-7-2010;116;269;98;39
20-7-2010;138;301;99;36
21-7-2010;185;255;91;57
22-7-2010;133;228;96;56
23-7-2010;113;233;99;49
24-7-2010;101;196;94;49
25-7-2010;98;218;97;62
26-7-2010;154;203;98;74
27-7-2010;153;230;98;57
28-7-2010;162;214;99;66
29-7-2010;146;196;97;71
30-7-2010;130;216;97;55
31-7-2010;148;215;97;77
1-8-2010;135;226;97;59
2-8-2010;111;197;99;69
3-8-2010;110;210;99;61
4-8-2010;133;196;98;69
5-8-2010;96;198;97;65
6-8-2010;84;226;99;48
7-8-2010;136;208;98;67
8-8-2010;130;212;99;74
9-8-2010;117;224;98;53
10-8-2010;131;219;98;66
11-8-2010;99;207;98;54
12-8-2010;82;197;99;66
13-8-2010;96;208;99;55
14-8-2010;104;244;99;47
15-8-2010;152;212;99;67
16-8-2010;161;226;99;67
17-8-2010;151;180;99;87
18-8-2010;135;200;97;58
19-8-2010;134;212;97;54
20-8-2010;156;273;85;46
21-8-2010;170;254;95;68
22-8-2010;164;230;99;74
23-8-2010;165;213;99;70
24-8-2010;107;198;99;55
25-8-2010;123;195;98;63
26-8-2010;134;168;99;97
27-8-2010;125;167;99;72
28-8-2010;99;168;95;73
29-8-2010;98;163;98;76
30-8-2010;109;186;96;63
31-8-2010;76;176;99;65
1-9-2010;60;182;99;62
2-9-2010;67;171;100;78
3-9-2010;73;191;99;66
4-9-2010;67;182;99;61
5-9-2010;59;189;98;52
6-9-2010;91;199;88;42
7-9-2010;104;140;94;61
8-9-2010;121;193;99;80
9-9-2010;108;191;100;73
10-9-2010;108;193;100;82
11-9-2010;136;228;96;58
12-9-2010;119;185;98;73
13-9-2010;82;187;98;57
14-9-2010;125;170;99;94
15-9-2010;98;165;97;52
16-9-2010;85;165;99;70
17-9-2010;80;157;98;58
18-9-2010;60;155;98;64
19-9-2010;70;157;97;77
20-9-2010;122;174;99;83
21-9-2010;101;200;100;71
22-9-2010;84;221;100;57
23-9-2010;121;215;99;66
24-9-2010;122;178;99;69
25-9-2010;71;147;99;61
26-9-2010;52;127;100;79
27-9-2010;68;131;99;97
28-9-2010;80;143;99;87
29-9-2010;41;144;98;63
30-9-2010;62;122;100;94
1-10-2010;62;168;100;71
2-10-2010;119;185;99;81
3-10-2010;150;224;96;65
4-10-2010;127;226;99;64
5-10-2010;139;190;97;77
6-10-2010;121;190;99;76
7-10-2010;100;161;100;88
8-10-2010;106;159;97;84
9-10-2010;83;185;99;64
10-10-2010;60;165;96;58
11-10-2010;37;155;99;53
12-10-2010;21;138;100;66
13-10-2010;33;137;100;66
14-10-2010;28;122;98;81
15-10-2010;75;128;97;84
16-10-2010;42;106;95;64
17-10-2010;1;108;99;57
18-10-2010;-8;125;98;66
19-10-2010;60;128;99;69
20-10-2010;31;92;98;67
21-10-2010;27;112;93;60
22-10-2010;72;126;93;79
23-10-2010;53;90;96;75
24-10-2010;58;113;88;62
25-10-2010;38;109;93;58
26-10-2010;7;96;98;68
27-10-2010;66;99;99;93
28-10-2010;89;131;97;88
29-10-2010;64;131;95;68
30-10-2010;71;129;99;72
31-10-2010;36;125;100;91
1-11-2010;69;90;100;91
2-11-2010;70;127;100;87
3-11-2010;103;144;99;74
4-11-2010;140;157;93;82
5-11-2010;92;150;97;83
6-11-2010;48;114;99;78
7-11-2010;12;92;99;69
8-11-2010;14;68;95;86
9-11-2010;31;45;96;92
10-11-2010;16;77;97;76
11-11-2010;23;103;96;77
12-11-2010;93;120;97;64
13-11-2010;85;109;97;85
14-11-2010;76;128;99;81
15-11-2010;3;98;100;80
16-11-2010;-6;99;100;78
17-11-2010;2;57;99;78
18-11-2010;34;62;97;92
19-11-2010;21;79;100;89
20-11-2010;43;88;99;77
21-11-2010;26;84;99;81
22-11-2010;30;70;96;78
23-11-2010;23;69;96;71
24-11-2010;-10;59;98;78
25-11-2010;-11;24;100;94
26-11-2010;-33;41;99;67
27-11-2010;-23;13;98;80
28-11-2010;-53;-10;99;85
29-11-2010;-39;-2;99;85
30-11-2010;-48;-5;90;72
1-12-2010;-72;-48;78;56
2-12-2010;-87;-57;95;78
3-12-2010;-85;-26;94;78
4-12-2010;-57;5;99;79
5-12-2010;-4;39;99;88
6-12-2010;-21;19;100;92
7-12-2010;-35;-7;100;98
8-12-2010;-37;4;99;96
9-12-2010;-2;46;97;76
10-12-2010;-5;62;99;97
11-12-2010;45;78;97;76
12-12-2010;-34;58;93;72
13-12-2010;-50;26;97;83
14-12-2010;-47;2;93;69
15-12-2010;-26;32;98;79
16-12-2010;-43;37;99;96
17-12-2010;-62;-3;99;87
18-12-2010;-72;-26;95;89
19-12-2010;-125;-43;97;94
20-12-2010;-169;-40;98;88
21-12-2010;-166;-34;99;93
22-12-2010;-36;-21;99;91
23-12-2010;-22;1;98;86
24-12-2010;-29;-3;86;70
25-12-2010;-54;17;98;62
26-12-2010;-49;26;99;88
27-12-2010;-9;23;99;82
28-12-2010;-3;10;88;78
29-12-2010;-62;3;94;85
30-12-2010;-75;9;99;92
31-12-2010;7;35;100;94
1-1-2011;5;52;99;83
2-1-2011;-1;35;97;85
3-1-2011;-31;31;99;90
4-1-2011;-8;24;99;75
5-1-2011;-12;23;94;72
6-1-2011;17;47;100;97
7-1-2011;-3;89;100;93
8-1-2011;23;118;97;79
9-1-2011;0;62;98;71
10-1-2011;-12;36;98;89
11-1-2011;-4;57;99;85
12-1-2011;12;79;99;86
13-1-2011;73;105;100;94
14-1-2011;77;106;99;90
15-1-2011;58;97;96;81
16-1-2011;80;118;90;77
17-1-2011;47;93;96;84
18-1-2011;-1;52;100;88
19-1-2011;16;66;99;91
20-1-2011;-26;47;99;74
21-1-2011;-30;44;100;89
22-1-2011;9;57;99;85
23-1-2011;16;57;100;91
24-1-2011;40;61;99;87
25-1-2011;20;60;98;77
26-1-2011;4;35;99;80
27-1-2011;-32;10;96;68
28-1-2011;-47;1;93;70
29-1-2011;-60;4;98;86
30-1-2011;-40;2;100;92
